,time,Aphanizomenon_flos-aquae,Planktothrix_rubescens,Phacotus_lenticularis,Pandorina_morum,Elakatothrix_gelatinosa,Closterium_aciculare,Cosmarium_sp,Staurastrum_sp,Stephanodiscus_sp,Centrales,Asterionella_formosa,Cymbella_sp,Fragilaria_crotonensis,Nitzschia_sp,Ulnaria_delicatissima_var_angustissima,Tabellaria_fenestrata,Dinobryon_sp,Erkenia_subaequiciliata,Rhodomonas_sp,Gymnodinium_sp,Gymnodinium_helveticum,Ceratium_hirundinella,Bosmina_longirostris_adult,Bosmina_longirostris_juvenile,Diplostraca_eggs,Diaptomus_sp_eggs,Diaptomus_sp_C1-C3,Diaptomus_sp_C4-C5,Eudiaptomus_gracilis_male,Eudiaptomus_gracilis_ovaria,Eudiaptomus_gracilis_female,Cyclops_abyssorum_male,Cyclops_sp_SU_C1-C3,Cyclops_sp_SU_C4-C5,Cyclopoida_nauplia,Cyclops_abyssorum_female,Cyclops_sp_eggs
0,1,0.026470999902111,0.09877118396338622,0.05554603201694982,0.0,0.0,0.2955987834393446,0.18257418584523172,0.18196863130416527,0.0,0.04390358820783101,0.12836312370323089,0.649519052818719,0.04282799726870642,0.29819041864187557,0.04378426487365932,0.03804429550659845,0.0,0.0,0.226250017518814,0.11645489089633247,0.49828263875847817,0.09245003270255589,0.6287935953747659,0.38115410316982834,0.5063499223881041,0.0,0.310195867975614,0.7266342892139791,0.6924247647178143,0.0,0.38256157270581337,0.5462011434335377,0.5193458640642903,0.7002454561468693,0.5193601955029374,0.16543863954070784,0.4777665429529546
1,2,0.024028466567369067,0.08981018463130752,0.0282826551397845,0.0,0.0,0.197065855624096,0.0,0.08137884587374196,0.051647429983503905,0.05495260919618409,0.29244045582938544,0.2795084971844357,0.03761626109511406,0.12435400085088318,0.05682196536651775,0.064888568445772,0.0,0.05466621503662269,0.3386741183250647,0.2651545278232752,0.06524621095867675,0.0,0.21450220661104563,0.09483368536351641,0.18947938944484238,0.0987886098849509,0.155097933987807,0.2339655678019207,0.14066595251825903,0.0,0.0,0.19128078635290668,0.17754385664520939,0.31100912780454115,0.2612668307082343,0.06711121177153327,0.11887150534341145
2,3,0.023531843065475497,0.0873236649857823,0.021379677692014144,0.0819231920553037,0.05722103074147581,0.2413553960098466,0.0,0.16275769174748392,0.13555742345875715,0.4189669222173474,0.40091317046734193,0.4841229182145383,0.07018716018222905,0.16450488038516148,0.04141576832682454,0.025649458798892244,0.0,0.3043686039459391,0.5530795612008949,0.37498512940334316,0.2491921817381404,0.06537204504489534,0.18868444412341934,0.0670575420054539,0.15987800226971846,0.0,0.36796380715171156,0.4211709273075653,0.4246943569246629,0.0,0.27051188228167106,0.47153422251160587,0.19012350097663824,0.4774797448167942,0.42848755597880894,0.08219411243006022,0.41441420153607506
3,4,0.039615515153615846,0.21775088104248508,0.03023543015318367,0.11585688926631306,0.05418054280471363,0.09853292782164962,0.0,0.18196863130416527,0.08607904997250651,0.24666888937024967,0.11411493108392697,0.25000000001358613,0.09438830883918928,0.5152319064906535,0.024604632753605013,0.016222142111443,0.0300254168856645,0.10063468008791164,0.561748793051806,0.19079457430748342,0.288010709203407,0.13074409009831697,0.41868533623327076,0.3016156196438511,0.43851189599237694,0.22174602737167695,0.4830497702459608,0.5940239032442658,0.31634807333183024,0.5984768402328772,0.304759071868122,0.5265235339861877,0.6386682374421843,1.0,0.4493873821871685,0.16880735214865836,0.37806716679539326
4,5,0.12487659245437255,0.038316523797794814,0.0,0.30652851669336606,0.04381079543571619,0.0,0.34156502554286555,0.24413653759292184,0.07699144287085037,0.01963428153777366,0.5675390413493184,0.17677669528703,0.5414215843051816,0.0,0.0,0.07344887228893014,0.30670952890558956,0.0,0.6037811620240013,0.07789155879579057,0.15751828736876292,0.0,0.9222769765930049,0.21286859907094202,1.0,0.0,0.34713966121724543,0.9776856811687464,1.0,0.0,0.0,0.6072049735556931,0.6338982654101301,0.38803715211806106,0.7628678423046494,0.0,1.0
5,6,0.11555487365094194,0.018318802181631035,1.0,0.16384638409477778,0.2849188106957433,0.0,0.31622776601683794,0.2699030976609657,0.045548751863990704,0.02658494287905295,0.25202486037740596,0.0,0.45136610730824334,0.0,0.0,0.05848976517780251,0.09549491494978607,0.048211070038021435,0.3785631539110711,0.07789155879579057,0.19470331085019985,0.0,1.0,1.0,0.45285005325351047,0.0,0.17356983060862272,0.3373580606563777,0.0,0.8431620068515344,0.0,0.0,0.6434767288639498,0.3592363240229821,0.7832573291530001,0.0,0.37806716679539326
6,7,0.049694637557898554,0.04168713592402699,0.3327614795581094,0.5850486127716525,0.06463347998600978,0.2413553960098466,0.7416198486795035,0.592446940542019,0.06441566263042156,0.300239773966828,0.047248070258078846,0.3307189138959115,0.024009885374551343,0.5595930037714064,0.017398102666742372,0.016222142111443,0.09675741433811805,0.10307960361430656,0.4389282147528863,0.09996430483510871,0.288010709203407,1.0,0.30323656487257156,0.21335552749765227,0.23754845462070032,0.0,0.10956630270427012,0.31653559097945166,0.3164683349112863,0.0,0.0,0.0,0.5556561997103993,0.4864110860998658,0.4233459615764194,0.06762548145135333,0.2386556551584949
7,8,0.13603168358185108,0.2899145264223481,0.13689673242607694,0.30652851669336606,0.07951529805532156,0.4725473212993309,1.0,0.5519381863741296,0.1985424063764301,0.14405908435754194,0.17221720222829182,0.25000000001358613,0.2619169274716064,1.0,0.09892979953506764,0.0,0.05617241142953669,0.21866486015969436,0.714694091332649,0.1451081951363027,0.2971978406825816,0.2923526730971286,0.20660879420258824,0.19732860374036895,0.4528808290295213,0.0,0.16059257136315433,0.45614796127143564,0.4139342894997944,0.9030966492677147,0.0,0.4598789429026934,0.789625328815373,0.501901924031479,0.5324807059595673,0.08052116175176958,0.4041708020310765
8,9,0.5921378477364494,0.24084050071167898,0.09738906677585535,1.0,0.0,0.4062616689541329,0.3651483716599344,0.38170062119338954,0.024346831981462022,0.037596786771994135,0.11411493108392697,0.0,0.2346344473260171,0.05076730825235768,0.010044799258591437,0.08885233163603279,0.03677347533647539,0.05153980180995418,0.37506148445746124,0.056674433702436626,0.22832114183507882,0.19611613514037024,0.20660879420258824,0.16122033017067045,0.5546885994990529,0.0,0.16059257136315433,0.36065093703300866,0.2391366656461306,0.6373705671208529,0.0,0.0,0.35731276485801616,0.2826111588439311,0.37986127112857376,0.08052116175176958,0.6388071181068233
9,10,0.0383703840767608,0.646945373133203,0.03023543015318367,0.16384638409477778,0.04381079543571619,0.2955987834393446,0.18257418584523172,0.2573425063168199,0.045548751863990704,0.08744054777902353,0.12753228568870384,0.0,0.1508129408979894,0.0,0.02246085395880017,0.12407552876034643,0.04523018642411202,0.06043577466391052,0.2925154580457792,0.1281282369821356,0.19470331085019985,0.11322770343213064,0.18151707577716683,0.1653063359680221,0.2067164901914532,0.0,0.07767196305373623,0.2754517030743408,0.0,0.0,0.0,0.22298568305614896,0.16463992516585535,0.11978340153891731,0.24127370169886153,0.038746676181936716,0.1950473744013735
